Feature Set,Model,Accuracy,Macro-F1,AUC-ROC
Semantic,LogReg,41.9 ± 4.8,40.2 ± 4.4,60.6 ± 4.8
Semantic,RandForest,43.7 ± 6.7,42.1 ± 6.6,62.1 ± 6.0
Semantic,XGBoost,52.5 ± 3.6,31.7 ± 3.5,62.8 ± 6.0
Morphological,LogReg,39.9 ± 4.5,37.4 ± 4.6,60.0 ± 5.3
Morphological,RandForest,45.7 ± 5.3,44.0 ± 4.9,63.6 ± 4.3
Morphological,XGBoost,52.8 ± 4.1,32.2 ± 3.8,63.9 ± 5.0
Phonological,LogReg,70.4 ± 5.3,65.8 ± 5.5,83.5 ± 4.9
Phonological,RandForest,61.6 ± 5.9,57.4 ± 6.8,78.9 ± 4.5
Phonological,XGBoost,68.2 ± 5.0,62.1 ± 6.0,82.1 ± 5.1
Morph+Phon,LogReg,72.3 ± 5.0,68.3 ± 5.4,84.8 ± 4.9
Morph+Phon,RandForest,64.8 ± 5.8,60.4 ± 6.1,80.4 ± 4.4
Morph+Phon,XGBoost,69.6 ± 5.1,64.7 ± 5.5,85.1 ± 4.4
All Features,LogReg,70.5 ± 5.8,66.6 ± 5.8,84.3 ± 5.5
All Features,RandForest,63.6 ± 5.5,59.5 ± 5.7,79.5 ± 4.8
All Features,XGBoost,68.9 ± 6.8,63.9 ± 8.1,84.4 ± 5.1
N-grams Only,LogReg,67.3 ± 5.6,61.4 ± 5.4,81.2 ± 5.0
N-grams Only,RandForest,60.2 ± 6.2,57.1 ± 5.9,76.9 ± 5.4
N-grams Only,XGBoost,65.6 ± 6.4,55.3 ± 7.8,79.1 ± 4.5
