feature_set,model,n_features,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,auc_roc_mean,auc_roc_std,precision_mean,precision_std,recall_mean,recall_std
baseline,majority_class,0,0.40213032581453634,0.00844922998643268,0.06774640268311154,0.004899209714499191,0.5,0.0,0.047508528265107215,0.0036545806318321076,0.11805555555555555,0.007320087176315697
baseline,random_stratified,0,0.24552005012531328,0.04396570153585065,0.10831447618903292,0.034066106944009286,0.5029946775055842,0.023980678381642792,0.10556160968660969,0.038649739345800495,0.11441547985026246,0.031181102058476202
ngrams_only,logistic_regression,1149,0.5766917293233084,0.07038581243760607,0.4184554522727403,0.06724083186491894,0.808495191590952,0.04114627434230956,0.4209462015087492,0.07186435077221551,0.4424661731183471,0.06359366223081331
ngrams_only,random_forest,1149,0.450344611528822,0.06301454623111397,0.35043176361113393,0.07154714990397383,0.77584064565523,0.059394759553009886,0.3535622749164416,0.07418864030484668,0.4083122242089633,0.06510218909479246
ngrams_only,xgboost,1149,0.5891604010025062,0.06545065316447668,0.3857043432375219,0.08928851421416807,0.8150266258388543,0.0365442765317745,0.42936925348843247,0.1294562876994861,0.38840390185498874,0.07554724156152282
semantic_only,logistic_regression,24,0.22230576441102756,0.04615828786020426,0.17243041503958373,0.059767515870236786,0.6548881293419554,0.06094131449001546,0.25033546700213366,0.09267772123838343,0.21940136353179832,0.10624212640151454
semantic_only,random_forest,24,0.22230576441102756,0.05110608474576038,0.17241264583247734,0.0558309278893188,0.670437380391416,0.04905165955703812,0.25217356717356715,0.08872144241743,0.21980990024468286,0.10343245401265078
semantic_only,xgboost,24,0.4537593984962406,0.02290145726001726,0.1424994665820992,0.02145666061069183,0.6679286678338948,0.06694486515567334,0.15087228633068642,0.05357868730764217,0.17172527552962333,0.015995896914934894
morph_only,logistic_regression,12,0.31275062656641606,0.08721323495259611,0.19229801494177381,0.051628163679428025,0.7109961067550767,0.062355223851283434,0.21736383986383984,0.05629609643271183,0.24265198569546395,0.09570560700576392
morph_only,random_forest,12,0.2864974937343358,0.030849250581750674,0.22277489300458903,0.027432896937856742,0.7341194325793831,0.045055345510366454,0.27400673627389316,0.052958654979814355,0.2748635553255118,0.056704739160478856
morph_only,xgboost,12,0.5036967418546365,0.044916261832741194,0.19876874921398618,0.047959109403,0.7388454973302202,0.01800601798434265,0.22605719930797333,0.09495233627269975,0.23037859181880918,0.045886720696989354
phon_only,logistic_regression,1158,0.6013784461152881,0.06276483974568282,0.43865546380984083,0.06436215883290652,0.8166150939684194,0.04237783607856402,0.45754614383487713,0.07125254453701602,0.45506306595980506,0.06304194528063241
phon_only,random_forest,1158,0.48574561403508776,0.054913948295071756,0.3700454075120192,0.048772242101019686,0.7807255704946211,0.048480329360091244,0.3875572999531333,0.057052335021034156,0.4235098788087918,0.058134395787407936
phon_only,xgboost,1158,0.6245927318295739,0.06346458515061949,0.39825066814969856,0.09850487147401253,0.8286145523516895,0.02651792612815047,0.4544178838823834,0.11433931377049336,0.3974158510571554,0.08402975570948304
morph_phon,logistic_regression,1170,0.6477130325814536,0.08961119815551923,0.4690040480556332,0.08860705606056037,0.8507292348815794,0.06342594238229832,0.5030421411806861,0.11194640999985736,0.4855821674299935,0.08223723941116078
morph_phon,random_forest,1170,0.5643170426065163,0.07136809529768978,0.42246514992338857,0.06244980928497262,0.8223791170646548,0.050277490772572514,0.45303025698310784,0.05608422914834601,0.46276754344689125,0.056667253913613956
morph_phon,xgboost,1170,0.6761904761904762,0.05404318462142587,0.45846331460433554,0.1043998876361663,0.8724936624996807,0.025745533430276867,0.49299438310118904,0.12370644459494287,0.46383344312692143,0.09613971875738425
all_features,logistic_regression,1194,0.644235588972431,0.06861326629204224,0.4643122816171895,0.07452640121788061,0.863959890732264,0.06520448338889656,0.4988892779925388,0.09575072055584605,0.479742246481377,0.06570616887626819
all_features,random_forest,1194,0.5641604010025063,0.08010523594826038,0.44723631678245257,0.10107524219861948,0.8602494798830097,0.049115950361292994,0.46812566518448867,0.10996592452310171,0.49293985402681056,0.09837684929042413
all_features,xgboost,1194,0.6674185463659147,0.07330577150878576,0.4487030967378686,0.12454255694518582,0.8809971176054541,0.03566533295746027,0.5112772327234693,0.1446937242126497,0.44718263117719637,0.10568433996899487
