domain,model,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,best_params
micro_medial_a,random,0.5195274417928879,0.1256137523573687,0.8397869674185463,0.03763057487908459,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
micro_medial_a,ngram_only,0.3107825507825508,0.13717839920163669,0.8575814536340852,0.021057769459643966,
micro_medial_a,logistic_regression,0.5297572362278246,0.1501003356415708,0.8557017543859649,0.041871797991470616,"{'C': 100.0, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear', 'random_state': 42}"
micro_medial_a,random_forest,0.5195274417928879,0.1256137523573687,0.8397869674185463,0.03763057487908459,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
micro_medial_a,xgboost,0.5910269613427508,0.07847532795014323,0.8486528822055138,0.028665156743169624,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}"
micro_final_a,majority_class,0.0,0.0,0.8736842105263157,0.0049793527385749645,
micro_final_a,random,0.40610116199589885,0.10233386515313825,0.7884398496240601,0.05032117860850055,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"
micro_final_a,ngram_only,0.025,0.07905694150420949,0.8736842105263157,0.009780369711809954,
micro_final_a,logistic_regression,0.376985236985237,0.14711555340257695,0.8736528822055138,0.021381971025932613,"{'C': 100.0, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear', 'random_state': 42}"
micro_final_a,random_forest,0.40610116199589885,0.10233386515313825,0.7884398496240601,0.05032117860850055,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"
micro_final_a,xgboost,0.3864121980530649,0.11123707020912102,0.838095238095238,0.02106274040895026,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.3, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 50, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}"
micro_final_vw,majority_class,0.0,0.0,0.9519736842105262,0.00850435528973848,
micro_final_vw,random,0.40714285714285714,0.2891003063824314,0.9519110275689222,0.01482156656431742,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"
micro_final_vw,ngram_only,0.0,0.0,0.9501879699248119,0.011234599672331529,
micro_final_vw,logistic_regression,0.36047619047619045,0.3276157407240513,0.9537280701754387,0.019198834071893052,"{'C': 10.0, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear', 'random_state': 42}"
micro_final_vw,random_forest,0.40714285714285714,0.2891003063824314,0.9519110275689222,0.01482156656431742,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"
micro_final_vw,xgboost,0.30158730158730157,0.22307094162786026,0.9341165413533835,0.022416259423888262,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 50, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}"
micro_insert_c,majority_class,0.0,0.0,0.9323934837092732,0.007414810487300578,
micro_insert_c,random,0.5022644022644023,0.14812971176027134,0.9074561403508772,0.0355217663534166,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"
micro_insert_c,ngram_only,0.03333333333333333,0.10540925533894596,0.9288220551378448,0.008434503535890574,
micro_insert_c,logistic_regression,0.48577899224958043,0.13856908158180703,0.8825814536340852,0.03772047780957036,"{'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'liblinear', 'random_state': 42}"
micro_insert_c,random_forest,0.5022644022644023,0.14812971176027134,0.9074561403508772,0.0355217663534166,"{'class_weight': 'balanced', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"
micro_insert_c,xgboost,0.5526984126984127,0.26711329860438104,0.937750626566416,0.030565072486726647,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 1, 'subsample': 0.8}"
micro_8way,majority_class,0.06774640268311154,0.004899209714499191,0.40213032581453634,0.00844922998643268,
micro_8way,random,0.45253824257607933,0.08508172417313153,0.5838032581453634,0.06382205124205226,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"
micro_8way,ngram_only,0.3596491271576555,0.09261044761299048,0.6016604010025063,0.05360576879403652,
micro_8way,logistic_regression,0.46674529416657673,0.06856422377553255,0.6494987468671679,0.06594027352548001,"{'C': 1.0, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l2', 'solver': 'lbfgs', 'random_state': 42}"
micro_8way,random_forest,0.45253824257607933,0.08508172417313153,0.5838032581453634,0.06382205124205226,"{'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}"
micro_8way,xgboost,0.4483351731769393,0.10208103488780507,0.6673558897243107,0.05110045113316258,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 1, 'subsample': 0.8}"
