feature_set,model,n_features,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,auc_roc_mean,auc_roc_std,precision_mean,precision_std,recall_mean,recall_std
baseline,majority_class,0,0.5257370744908133,0.003086199269846031,0.22971777557412915,0.0008842719803779232,0.5,0.0,0.17524569149693778,0.001028733089948677,0.33333333333333337,5.851389114294502e-17
baseline,random_stratified,0,0.3857142857142858,0.04121113724573858,0.299484850981102,0.04709488994155529,0.4759992640482803,0.03345472054580428,0.2991996762473106,0.04961978245802297,0.3019594709917291,0.04493952170719439
ngrams_only,logistic_regression,2265,0.67331576698476,0.056037525511068526,0.6142368480750108,0.053765126124980245,0.8118124346235869,0.049850427057057715,0.6224273196423049,0.05867104354393568,0.6147614896001994,0.055168460032588094
ngrams_only,random_forest,2265,0.6016593077909129,0.062158926123835716,0.5714110328772805,0.05948451971357702,0.7689936656163425,0.05418880505737601,0.5788983938993016,0.056047182342012156,0.596464505980635,0.059788381406960744
ngrams_only,xgboost,2265,0.656423586383706,0.0642048039705907,0.5533974377822612,0.07848751169252145,0.79116735163464,0.04533762976448737,0.6388549302902936,0.10477638775793496,0.5437774410355056,0.06822861782163121
semantic_only,logistic_regression,24,0.41944879646773964,0.04822320976776778,0.40163296981785657,0.044293508991454476,0.6059441150695546,0.047677583994325576,0.4233333283188247,0.037870373953786104,0.43487277600180824,0.0535458474866064
semantic_only,random_forest,24,0.43718131320324743,0.06731700115241347,0.42098523693561135,0.06575952290847162,0.6208354003300856,0.059964500175710866,0.4483080350697638,0.057999475112445596,0.4533367468851339,0.07343583037777741
semantic_only,xgboost,24,0.5249038598490243,0.036340878527309876,0.31713566608667443,0.0347887082087211,0.6282960153643564,0.0598167332833425,0.3339093343621381,0.05789850190634404,0.3616525742332194,0.02876819338674513
morph_only,logistic_regression,12,0.3992380002848597,0.045322150749206445,0.37368599445413275,0.045864817581293606,0.5998865612955899,0.053292645999375526,0.40773674892683537,0.060419943103053604,0.4212274025177251,0.05932283436288179
morph_only,random_forest,12,0.4566016237003276,0.052882902198792686,0.43953528356327737,0.049422468935524294,0.6363972068925043,0.04344181332921963,0.44859984021155486,0.04823076438600799,0.4741665167471618,0.05537087899763241
morph_only,xgboost,12,0.5283079333428286,0.04091427175239685,0.32169459151527474,0.03758254602612035,0.6387636949051428,0.0502190758022041,0.32926532680244064,0.04621369786521724,0.36562172771850193,0.03384841323406003
phon_only,logistic_regression,2028,0.7037601481270473,0.05262333670508713,0.657581499443355,0.05509796639052928,0.8346486701181164,0.04879751354317369,0.6613197691004057,0.05789548456547272,0.6601733530765788,0.050987790657361996
phon_only,random_forest,2028,0.6160732089445948,0.058693346268417206,0.5741883004804513,0.06778369611724419,0.788681897556095,0.04472763013356503,0.5841409631536134,0.06243035756688437,0.6079324485776099,0.06506599009351594
phon_only,xgboost,2028,0.6817974647486112,0.049581648358623116,0.6212840051790756,0.05982920494194347,0.8211218220239367,0.050652258672277295,0.6536514601880966,0.0783418397713673,0.6096499033595807,0.05081088484041889
morph_phon,logistic_regression,2040,0.7232231875801168,0.04974288001122434,0.6826568779045459,0.05382113052733536,0.8478826471648423,0.049026199549308765,0.684945498291216,0.05570974781562165,0.6860668733249378,0.052921807302412256
morph_phon,random_forest,2040,0.6481270474291412,0.05789862591004696,0.6036340718497593,0.0612808092576146,0.8041245081766089,0.043743085024898376,0.6191928119637999,0.06395030348341402,0.630229492164976,0.05335280633621673
morph_phon,xgboost,2040,0.6962256088876229,0.05148975671010398,0.6469921579904301,0.05514301920729181,0.8506985780778296,0.04361442076676741,0.6771862685057419,0.06607035400087301,0.6376979052785503,0.05330683522714831
all_features,logistic_regression,2064,0.705490670844609,0.058025481047130754,0.665575713242698,0.05834963508592411,0.8431459036521824,0.0545489110889138,0.6694741667542671,0.060653921750483876,0.6695276151727764,0.05445947132251073
all_features,random_forest,2064,0.6363552200541234,0.05542675070234755,0.5949879521621737,0.05671393233634094,0.7945733079897084,0.04824902942840959,0.6040381223655651,0.06220239891921832,0.6235116222212996,0.05836659726908722
all_features,xgboost,2064,0.6894388263780089,0.06812360681933952,0.6387574223784773,0.0808597560883323,0.8438414778877155,0.05078141392158357,0.6676565931301809,0.09395896773814086,0.6273332087848217,0.0754327217708403
